Bahan,Lanmadaw,Yankin,South_Oakklar,Hlaing,Sanchoung,Condo_name,Total_Area_squft,Bedrooms,Bathrooms,Swimming_Pool,Security,Gym,Has_Elevator,Has_Parking,View_type,Price_USD,log_price
1,0,0,0,0,0,Infinity Condo,1356.0,2,1,0.0,0.0,0.0,0,0,Inya View,177777.78,12.0882952473579
1,0,0,0,0,0,Infinity Condo,1350.0,2,2,0.0,0.0,0.0,0,0,Shwe da gone View,270000.0,12.506180941677357
1,0,0,0,0,0,Infinity Condo,2700.0,3,3,1.0,1.0,1.0,0,1,City View,600000.0,13.304686600863562
1,0,0,0,0,0,Infinity Condo,1356.0,2,2,1.0,1.0,1.0,1,1,City View,166666.67,12.0237571087181
1,0,0,0,0,0,Infinity Condo,1307.0,2,2,1.0,1.0,1.0,1,1,City View,300000.0,12.611541086966115
1,0,0,0,0,0,Infinity Condo,1950.0,2,2,1.0,1.0,1.0,1,1,City View,122222.22,11.71360432403542
1,0,0,0,0,0,Infinity Condo,1683.0,3,3,1.0,1.0,1.0,1,1,City View,377777.78,12.842064065187827
1,0,0,0,0,0,Infinity Condo,1370.0,2,2,0.0,0.0,0.0,0,0,City View,300000.0,12.611541086966115
1,0,0,0,0,0,Infinity Condo,1638.0,3,3,1.0,1.0,1.0,1,1,City View,377777.78,12.842064065187827
1,0,0,0,0,0,Infinity Condo,1679.0,2,2,0.0,0.0,0.0,0,0,City View,400000.0,12.899222326086994
1,0,0,0,0,0,Infinity Condo,1650.0,3,3,0.0,0.0,0.0,1,1,Shwe da gon View,333333.33,12.716901259291694
1,0,0,0,0,0,Infinity Condo,1700.0,3,2,1.0,0.0,1.0,1,1,City View,377777.78,12.842064065187827
1,0,0,0,0,0,Infinity Condo,965.0,2,1,1.0,0.0,1.0,1,1,City View,244444.44,12.406747413711305
1,0,0,0,0,0,Infinity Condo,1370.0,3,1,0.0,0.0,0.0,0,0,City View,233333.33,12.36022759677688
1,0,0,0,0,0,Infinity Condo,1307.0,2,1,0.0,0.0,0.0,0,0,City View,188777.78,12.148331132309055
1,0,0,0,0,0,Infinity Condo (2BR),1358.0,2,2,0.0,0.0,0.0,1,1,City View,241422.22,12.394306771917806
1,0,0,0,0,0,Infinity Luxury Condo,1683.0,3,3,1.0,1.0,1.0,1,1,City View,377777.78,12.842064065187827
1,0,0,0,0,0,Inya Myaing Residence,2000.0,3,2,0.0,0.0,0.0,0,0,City View,277777.78,12.534580320495701
1,0,0,0,0,0,Inya Myaing Residence,2120.0,3,3,0.0,1.0,0.0,1,1,Shwe da gon View,222222.22,12.31143765117792
1,0,0,0,0,0,Inya Myaing Residence,2025.0,3,3,0.0,1.0,0.0,1,1,City View,266666.67,12.493758480474876
1,0,0,0,0,0,Inya Myaing Residence,2100.0,2,1,0.0,0.0,0.0,0,0,City View,333333.33,12.716901259291694
1,0,0,0,0,0,Inya Myaing Residence,2200.0,3,4,0.0,0.0,0.0,0,0,City View,288888.89,12.573800891034102
1,0,0,0,0,0,Inya Myaing Residence Condo,2100.0,3,2,0.0,0.0,0.0,0,0,City View,266666.67,12.493758480474876
1,0,0,0,0,0,Inya Myaing Suit Residence,1150.0,2,2,1.0,1.0,1.0,1,0,City View,383333.33,12.856662811667944
1,0,0,0,0,0,Inya Myaing Suite,1150.0,3,3,1.0,0.0,1.0,1,1,City View,383333.33,12.856662811667944
1,0,0,0,0,0,Inya Myaing Suites Residence,1200.0,2,2,1.0,0.0,1.0,0,0,City View,400000.0,12.899222326086994
1,0,0,0,0,0,Inya Myaing Suites Residence,2100.0,3,3,0.0,1.0,0.0,1,1,City View,288888.89,12.573800891034102
1,0,0,0,0,0,JL Residence,1870.0,3,2,0.0,0.0,0.0,0,0,City View,391111.11,12.876749524212071
1,0,0,0,0,0,Kan daw Gyi Condo,1500.0,3,2,0.0,1.0,0.0,1,1,City View,115555.56,11.65751538605125
1,0,0,0,0,0,KohKai Residence Condo,700.0,1,1,0.0,0.0,0.0,0,0,City View,111111.11,11.618294970587645
1,0,0,0,0,0,Kyo Point Mini Condo,1500.0,3,1,0.0,0.0,0.0,1,0,City View,88888.89,11.395153691750423
1,0,0,0,0,0,Moe Myint San Condo,1800.0,5,4,0.0,0.0,0.0,1,0,City View,222222.22,12.31143765117792
1,0,0,0,0,0,Mona Lisa Residence,1600.0,3,3,0.0,1.0,0.0,1,1,City View,195555.56,12.183604926028561
1,0,0,0,0,0,My residence Condo,1600.0,3,3,1.0,1.0,1.0,1,1,City View,288888.89,12.573800891034102
1,0,0,0,0,0,My residence Condo,1600.0,3,2,0.0,0.0,0.0,0,0,City View,288888.89,12.573800891034102
1,0,0,0,0,0,My residence Condo,1500.0,3,3,0.0,1.0,0.0,1,1,City View,300000.0,12.611541086966115
1,0,0,0,0,0,My residence Condo,1500.0,3,3,0.0,0.0,1.0,1,1,City View,311111.11,12.647908608518344
1,0,0,0,0,0,My residence Condo,1700.0,3,1,0.0,0.0,0.0,0,0,City View,266666.67,12.493758480474876
1,0,0,0,0,0,Near Kan Taw Gyi,1500.0,3,2,0.0,1.0,0.0,1,1,City View,11555.56,9.355008520086622
1,0,0,0,0,0,Near Merry Browm mini Condo,1350.0,3,2,0.0,1.0,0.0,1,1,City View,58888.89,10.983424708047586
1,0,0,0,0,0,Near SDG mini Condo,972.0,1,1,0.0,0.0,0.0,0,0,City View,73333.33,11.202784127483124
1,0,0,0,0,0,Near SSC mini Condo,1300.0,3,2,0.0,0.0,0.0,0,0,City View,64444.44,11.07357425334292
1,0,0,0,0,0,New Thaketo Yeik Thar mini Condo,1020.0,2,1,0.0,0.0,0.0,1,0,City View,55222.22,10.919138795989777
1,0,0,0,0,0,New Thekatto Yiek Thar Condo,2400.0,3,3,0.0,0.0,0.0,1,1,City View,288888.89,12.573800891034102
1,0,0,0,0,0,New Thekatto Yiek Thar mini Condo,1020.0,2,2,0.0,1.0,0.0,1,0,City View,66666.67,11.107475406748813
1,0,0,0,0,0,New Thekatto Yiek Thar mini Condo,1040.0,2,2,0.0,0.0,0.0,1,0,City View,93333.33,11.44394327199769
1,0,0,0,0,0,One 62 Residence,1750.0,3,2,0.0,0.0,0.0,0,0,City View,220000.0,12.301387370778713
1,0,0,0,0,0,PaDoneMar mini Condo,1570.0,3,2,0.0,1.0,0.0,1,1,City View,95555.56,11.467473602466132
1,0,0,0,0,0,Park Lane Condo,1550.0,3,1,0.0,0.0,0.0,0,0,City View,166666.67,12.0237571087181
1,0,0,0,0,0,Park Lane Condo,1432.0,3,3,0.0,1.0,0.0,0,1,City View,177777.78,12.0882952473579
1,0,0,0,0,0,Park Lane Condo,1420.0,3,2,0.0,1.0,0.0,0,1,City View,177777.78,12.0882952473579
1,0,0,0,0,0,Park Lane Condo,1550.0,3,2,0.0,0.0,0.0,0,0,City View,177777.78,12.0882952473579
1,0,0,0,0,0,Park Lane Condo,1462.0,3,3,0.0,0.0,0.0,1,1,City View,173333.33,12.062977551872969
1,0,0,0,0,0,Park Lane Condo,1360.0,3,2,0.0,0.0,0.0,0,0,City View,177777.78,12.0882952473579
1,0,0,0,0,0,Peral Condo,1750.0,3,2,1.0,0.0,1.0,0,1,City View,144444.44,11.880657137379487
1,0,0,0,0,0,Peral Condo,1950.0,2,2,1.0,1.0,1.0,1,1,City View,122222.22,11.71360432403542
1,0,0,0,0,0,Peral Condo,1780.0,3,2,1.0,1.0,1.0,1,1,City View,144444.44,11.880657137379487
1,0,0,0,0,0,Peral Condo,1450.0,3,2,1.0,1.0,1.0,1,1,City View,106666.67,11.57747339231356
1,0,0,0,0,0,Peral Condo,400.0,2,1,1.0,1.0,1.0,1,1,City View,56666.67,10.944959133089895
1,0,0,0,0,0,Peral Condo,800.0,1,1,1.0,1.0,1.0,1,1,City View,71111.11,11.172012924775979
1,0,0,0,0,0,Peral Condo,1580.0,3,2,1.0,1.0,1.0,1,1,City View,140000.0,11.849404844423074
1,0,0,0,0,0,Peral Condo,1870.0,4,3,0.0,0.0,0.0,0,0,City View,188888.89,12.14891953167618
1,0,0,0,0,0,Peral Condo,1450.0,3,2,0.0,0.0,0.0,0,0,City View,111111.11,11.618294970587645
1,0,0,0,0,0,Peral Condo,1780.0,3,2,0.0,0.0,0.0,1,1,City View,151111.11,11.925777290648284
1,0,0,0,0,0,Peral Condo,1750.0,3,2,0.0,0.0,0.0,0,1,City View,166666.67,12.0237571087181
1,0,0,0,0,0,Peral Condo,1250.0,3,2,1.0,1.0,1.0,1,1,City View,100000.0,11.51293546492023
1,0,0,0,0,0,Peral Condo,1251.0,3,2,1.0,1.0,1.0,1,1,City View,122222.22,11.71360432403542
1,0,0,0,0,0,Peral Condo,1160.0,2,1,1.0,1.0,1.0,1,1,City View,106666.67,11.57747339231356
