Model,MAE,MSE,RMSE,R2
Polynomial Regression,165167.28253873554,87990078995.00598,296631.2171619939,0.7473582046790181
Ridge Regression,165563.43836249976,88460306424.06378,297422.77388267324,0.7460080626716098
Lasso Regression,167299.57657834498,90341096344.73376,300567.9562839887,0.7406078386053643
