split,space,MAE,RMSE,R2
train_price,price,167542.26272058534,321406.6133332935,0.6529897302629729
test_price,price,162280.157724015,291789.3173480806,0.6876117273632616
train_log,log_price,0.7578575420586049,1.0707863270968583,0.6266565049391732
test_log,log_price,0.7061756820025281,0.950735677319339,0.6648492362713164
